".threshold",".metric",".estimator",".estimate","species"
0.28,"kap","binary",0.169070831072557,"Harbor seal"
0.29,"kap","binary",0.173241035407104,"Harbor seal"
0.3,"kap","binary",0.175077898227391,"Harbor seal"
0.31,"kap","binary",0.177271527656665,"Harbor seal"
0.32,"kap","binary",0.182622231440392,"Harbor seal"
0.33,"kap","binary",0.183445821391464,"Harbor seal"
0.34,"kap","binary",0.182366402142237,"Harbor seal"
0.35,"kap","binary",0.183672891586732,"Harbor seal"
0.36,"kap","binary",0.179772922762175,"Harbor seal"
0.37,"kap","binary",0.179580525025829,"Harbor seal"
0.38,"kap","binary",0.18015922234067,"Harbor seal"
0.39,"kap","binary",0.17343914021828,"Harbor seal"
0.4,"kap","binary",0.175025218517122,"Harbor seal"
0.41,"kap","binary",0.172158791084749,"Harbor seal"
0.42,"kap","binary",0.174349598390688,"Harbor seal"
0.43,"kap","binary",0.175153600654744,"Harbor seal"
0.44,"kap","binary",0.175720180251985,"Harbor seal"
0.45,"kap","binary",0.179955270051384,"Harbor seal"
0.46,"kap","binary",0.182186909954141,"Harbor seal"
0.47,"kap","binary",0.185730786666639,"Harbor seal"
0.48,"kap","binary",0.191418564247566,"Harbor seal"
0.49,"kap","binary",0.196306209228591,"Harbor seal"
0.5,"kap","binary",0.202132440084504,"Harbor seal"
0.51,"kap","binary",0.199381964372854,"Harbor seal"
0.52,"kap","binary",0.191618918100663,"Harbor seal"
0.53,"kap","binary",0.190681286882665,"Harbor seal"
0.54,"kap","binary",0.186126357502711,"Harbor seal"
0.55,"kap","binary",0.184099297784548,"Harbor seal"
0.56,"kap","binary",0.188686532468134,"Harbor seal"
0.57,"kap","binary",0.190040921764293,"Harbor seal"
0.58,"kap","binary",0.190417567068909,"Harbor seal"
0.59,"kap","binary",0.191454059904572,"Harbor seal"
0.6,"kap","binary",0.179995279694821,"Harbor seal"
0.61,"kap","binary",0.180035900390361,"Harbor seal"
0.62,"kap","binary",0.172485961361215,"Harbor seal"
0.63,"kap","binary",0.168546382641513,"Harbor seal"
0.64,"kap","binary",0.161364719056579,"Harbor seal"
0.65,"kap","binary",0.163837638108854,"Harbor seal"
0.66,"kap","binary",0.164453558789997,"Harbor seal"
0.67,"kap","binary",0.16250291999858,"Harbor seal"
0.68,"kap","binary",0.153880624381367,"Harbor seal"
0.69,"kap","binary",0.149616896301218,"Harbor seal"
0.7,"kap","binary",0.132127063136308,"Harbor seal"
0.71,"kap","binary",0.125688117541383,"Harbor seal"
0.72,"kap","binary",0.126070545820145,"Harbor seal"
0.73,"kap","binary",0.120210966549967,"Harbor seal"
0.74,"kap","binary",0.112678778906222,"Harbor seal"
0.75,"kap","binary",0.109944398292537,"Harbor seal"
0.76,"kap","binary",0.108604069853655,"Harbor seal"
0.77,"kap","binary",0.112353521586327,"Harbor seal"
0.78,"kap","binary",0.106133269944946,"Harbor seal"
0.79,"kap","binary",0.103112408402825,"Harbor seal"
0.8,"kap","binary",0.101520497850773,"Harbor seal"
0.81,"kap","binary",0.100242694519422,"Harbor seal"
0.82,"kap","binary",0.0973525695872312,"Harbor seal"
0.83,"kap","binary",0.0741211924837565,"Harbor seal"
0.84,"kap","binary",0.0700611296708035,"Harbor seal"
0.85,"kap","binary",0.0558711969334895,"Harbor seal"
0.86,"kap","binary",0.0567639884363573,"Harbor seal"
0.87,"kap","binary",0.0585924008016443,"Harbor seal"
0.88,"kap","binary",0.0490226809371539,"Harbor seal"
0.89,"kap","binary",0.0501902123048776,"Harbor seal"
