"threshold","estimate_kappa","Species","Dataset"
0.67,0.0420472169567465,"Northern elephant seal","Train data"
0.68,-0.00323988931094332,"Northern elephant seal","Train data"
0.69,-0.0029714107518739,"Northern elephant seal","Train data"
0.7,-0.00278118385269321,"Northern elephant seal","Train data"
0.71,-0.00268244065100065,"Northern elephant seal","Train data"
0.72,-0.00247722095671965,"Northern elephant seal","Train data"
0.73,-0.00203286634154165,"Northern elephant seal","Train data"
0.74,-0.00203286634154165,"Northern elephant seal","Train data"
0.75,-0.00203286634154165,"Northern elephant seal","Train data"
0.76,-0.00153670065071343,"Northern elephant seal","Train data"
0.77,-0.0014034861304919,"Northern elephant seal","Train data"
0.78,-0.000513387917681074,"Northern elephant seal","Train data"
0.79,-0.000347905369739498,"Northern elephant seal","Train data"
0.8,-0.000347905369739498,"Northern elephant seal","Train data"
0.81,-0.000347905369739498,"Northern elephant seal","Train data"
0.82,0,"Northern elephant seal","Train data"
0.83,0,"Northern elephant seal","Train data"
0.84,0,"Northern elephant seal","Train data"
0.85,0,"Northern elephant seal","Train data"
0.86,0,"Northern elephant seal","Train data"
0.87,0,"Northern elephant seal","Train data"
0.88,0,"Northern elephant seal","Train data"
0.89,0,"Northern elephant seal","Train data"
0.9,0,"Northern elephant seal","Train data"
