".threshold","specificity","sensitivity","species"
0.524,0.946597676461974,0.279352226720648,"California sea lion"
0.526,0.947281069999024,0.278002699055331,"California sea lion"
0.528,0.947476325295324,0.276653171390013,"California sea lion"
0.53,0.947866835887923,0.275303643724696,"California sea lion"
0.532,0.948745484721273,0.275303643724696,"California sea lion"
0.534,0.949233622962023,0.272604588394062,"California sea lion"
0.536,0.950112271795372,0.268556005398111,"California sea lion"
0.538,0.951088548276872,0.267206477732794,"California sea lion"
0.54,0.951771941813922,0.267206477732794,"California sea lion"
0.542,0.952260080054671,0.267206477732794,"California sea lion"
0.544,0.952650590647271,0.264507422402159,"California sea lion"
